page_index,mode,predicted_label,predicted_label_image,predicted_label_fused,predicted_label_text,predicted_label_base,text_source,query_text_kind,text_chars,text_empty,vlm_keywords_snippet,top1_score,top1_label_by_score,top2_score,margin_top1_top2,margin_norm,z_gap_top1_top2,other_triggered,other_triggered_top1,other_triggered_margin_norm,other_min_margin_norm,other_threshold,label_score_agg,label_score_topk,score_style,fused_giay_gui_tien_tiet_kiem,fused_the_tiet_kiem_ban_sao,fused_to_trinh_uu_dai_lai_suat,fused_giay_to_chung_minh_cu_tru,fused_so_quy,fused_liet_ke_giao_dich,fused_giay_de_nghi_tiep_quy,fused_giay_rut_tien,fused_giay_nop_chuyen_tien,fused_giay_de_nghi_hoan_quy,img_giay_gui_tien_tiet_kiem,img_the_tiet_kiem_ban_sao,img_to_trinh_uu_dai_lai_suat,img_giay_to_chung_minh_cu_tru,img_so_quy,img_liet_ke_giao_dich,img_giay_de_nghi_tiep_quy,img_giay_rut_tien,img_giay_nop_chuyen_tien,img_giay_de_nghi_hoan_quy,txt_giay_gui_tien_tiet_kiem,txt_the_tiet_kiem_ban_sao,txt_to_trinh_uu_dai_lai_suat,txt_giay_to_chung_minh_cu_tru,txt_so_quy,txt_liet_ke_giao_dich,txt_giay_de_nghi_tiep_quy,txt_giay_rut_tien,txt_giay_nop_chuyen_tien,txt_giay_de_nghi_hoan_quy,prob_giay_gui_tien_tiet_kiem,prob_the_tiet_kiem_ban_sao,prob_to_trinh_uu_dai_lai_suat,prob_giay_to_chung_minh_cu_tru,prob_so_quy,prob_liet_ke_giao_dich,prob_giay_de_nghi_tiep_quy,prob_giay_rut_tien,prob_giay_nop_chuyen_tien,prob_giay_de_nghi_hoan_quy
10,fused,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,empty,vlm_keywords,0,True,"Giấy đề nghị tiếp quỹ, ngân hàng, giao dịch",0.925083,giay_de_nghi_tiep_quy,0.880879,0.044204,0.115956,0.43648,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.725983,0.720965,0.71234,0.54387,0.685211,0.662066,0.925083,0.738289,0.741279,0.880879,0.6566,0.6571,0.6329,0.452,0.6141,0.5874,0.893,0.6792,0.6811,0.8657,0.888,0.87,0.8976,0.7583,0.8511,0.8362,1.0,0.8761,0.8817,0.9163,0.098729,0.098235,0.097391,0.082291,0.094785,0.092616,0.12048,0.099952,0.100251,0.11527
11,fused,other,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_gui_tien_tiet_kiem,giay_de_nghi_tiep_quy,empty,vlm_keywords,0,True,"Bảng ký nhận, giao nhận",0.879231,giay_de_nghi_tiep_quy,0.875477,0.003754,0.011944,0.04335,True,False,True,0.08,0.8,topk_mean,3,intrinsic,0.752527,0.734624,0.686288,0.564958,0.700096,0.695142,0.879231,0.74036,0.742839,0.875477,0.7129,0.7069,0.6526,0.5021,0.6703,0.665,0.895,0.7174,0.7119,0.8902,0.8451,0.7992,0.765,0.7116,0.7695,0.7655,0.8424,0.7939,0.815,0.841,0.101169,0.099374,0.094685,0.083866,0.096001,0.095527,0.114835,0.099945,0.100194,0.114405
12,fused,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,empty,vlm_keywords,0,True,"Giấy rút tiền, ngân hàng, chi tiết giao dịch, xác nhận, ký nhận",0.90567,giay_rut_tien,0.863639,0.042031,0.133612,0.494897,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.79176,0.756822,0.705931,0.591095,0.692359,0.703102,0.730395,0.90567,0.863639,0.738343,0.7263,0.6825,0.624,0.5016,0.6127,0.6262,0.6671,0.8686,0.8279,0.6771,0.9446,0.9302,0.897,0.7999,0.8782,0.8825,0.8781,0.9922,0.9471,0.8813,0.104104,0.10053,0.095542,0.085176,0.094254,0.095272,0.097908,0.116664,0.111862,0.098689
13,fused,other,giay_de_nghi_tiep_quy,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,empty,vlm_keywords,0,True,"Tờ trình, xác nhận, giấy tờ ngân hàng",0.692613,the_tiet_kiem_ban_sao,0.677996,0.014617,0.211613,0.679203,True,True,False,0.08,0.8,topk_mean,3,intrinsic,0.649952,0.692613,0.63295,0.628471,0.673173,0.623539,0.677996,0.659968,0.651336,0.66585,0.5386,0.5892,0.508,0.5531,0.5729,0.5318,0.5893,0.5576,0.5521,0.5798,0.9097,0.9339,0.9245,0.8044,0.9072,0.8375,0.885,0.8989,0.8829,0.8667,0.099415,0.103748,0.097739,0.097303,0.101751,0.096824,0.102243,0.100416,0.099553,0.101008
14,fused,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,empty,vlm_keywords,0,True,"Giấy đề nghị tiếp quỹ, ngân hàng, giao dịch",0.921172,giay_de_nghi_tiep_quy,0.885828,0.035344,0.093993,0.348756,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.72197,0.715906,0.710482,0.545141,0.684065,0.659644,0.921172,0.731258,0.731458,0.885828,0.6508,0.6498,0.6303,0.4538,0.6125,0.584,0.8874,0.6692,0.6671,0.8728,0.888,0.87,0.8976,0.7583,0.8511,0.8362,1.0,0.8761,0.8817,0.9163,0.098618,0.098021,0.097491,0.082634,0.09495,0.092659,0.120356,0.099538,0.099558,0.116176
15,fused,other,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,giay_nop_chuyen_tien,giay_de_nghi_tiep_quy,empty,vlm_keywords,0,True,"Bên giao, bên nhận, ký tên, chữ ký, số tiền",0.877365,giay_de_nghi_tiep_quy,0.872461,0.004905,0.016998,0.0626,True,False,True,0.08,0.8,topk_mean,3,intrinsic,0.760735,0.757375,0.70868,0.588836,0.718844,0.716945,0.877365,0.762848,0.762481,0.872461,0.7151,0.7129,0.6505,0.4984,0.6742,0.6645,0.8983,0.7175,0.7143,0.8908,0.8672,0.861,0.8444,0.7998,0.8231,0.8393,0.8285,0.8686,0.875,0.8297,0.100504,0.100167,0.095406,0.084631,0.09638,0.096198,0.112936,0.100716,0.100679,0.112384
16,fused,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,empty,vlm_keywords,0,True,"Giấy rút tiền, ngân hàng, chi tiết giao dịch, xác nhận, ký tên",0.894758,giay_rut_tien,0.859439,0.035319,0.117041,0.429684,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.785558,0.760109,0.709446,0.592992,0.687662,0.699703,0.728073,0.894758,0.859439,0.731915,0.7197,0.69,0.6271,0.5021,0.6048,0.6194,0.6641,0.8516,0.8222,0.67,0.9393,0.9236,0.9015,0.8052,0.8809,0.8871,0.8773,0.9954,0.9464,0.8764,0.10379,0.101182,0.096183,0.08561,0.094111,0.095251,0.097992,0.115766,0.111748,0.098369
17,fused,other,giay_de_nghi_tiep_quy,so_quy,so_quy,so_quy,empty,vlm_keywords,0,True,"Tờ trình, chứng minh cư trú",0.668961,so_quy,0.644632,0.024329,0.336185,1.125236,True,True,False,0.08,0.8,topk_mean,3,intrinsic,0.620267,0.644632,0.596592,0.614627,0.668961,0.597955,0.633214,0.608446,0.602571,0.619266,0.5244,0.5702,0.5025,0.547,0.5653,0.5261,0.5722,0.5403,0.5334,0.5608,0.8439,0.8184,0.8162,0.7724,0.9109,0.7657,0.7755,0.7674,0.7639,0.7557,0.099938,0.102403,0.0976,0.099376,0.104925,0.097733,0.10124,0.098764,0.098185,0.099838
18,fused,giay_nop_chuyen_tien,giay_nop_chuyen_tien,giay_nop_chuyen_tien,giay_nop_chuyen_tien,giay_nop_chuyen_tien,empty,vlm_keywords,0,True,"Giấy nộp tiền, chuyển tiền, ngân hàng, thanh toán, giao dịch",0.917164,giay_nop_chuyen_tien,0.855572,0.061592,0.186256,0.70813,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.805364,0.76931,0.715055,0.586477,0.697155,0.706903,0.731508,0.855572,0.917164,0.735407,0.7445,0.7016,0.6303,0.505,0.6144,0.627,0.6699,0.8243,0.8866,0.6751,0.9474,0.9272,0.9128,0.7765,0.8902,0.8932,0.8753,0.9286,0.9885,0.8762,0.105082,0.101361,0.096008,0.084425,0.094305,0.095229,0.097601,0.110493,0.117513,0.097982
19,fused,other,so_quy,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,empty,vlm_keywords,0,True,"Tờ trình, xác nhận, giấy tờ ngân hàng",0.666831,the_tiet_kiem_ban_sao,0.664392,0.002439,0.050489,0.149656,True,True,False,0.08,0.8,topk_mean,3,intrinsic,0.638721,0.666831,0.631099,0.620186,0.664392,0.618521,0.655901,0.639148,0.627687,0.641841,0.5226,0.5524,0.5054,0.5412,0.5603,0.5247,0.5577,0.5278,0.5183,0.5455,0.9097,0.9339,0.9245,0.8044,0.9072,0.8375,0.885,0.8989,0.8829,0.8667,0.099816,0.102661,0.099058,0.097983,0.102411,0.09782,0.101545,0.099858,0.09872,0.100128
20,fused,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,empty,vlm_keywords,0,True,"Giấy rút tiền, ngân hàng, chi tiết giao dịch, xác nhận, ký tên",0.908653,giay_rut_tien,0.875047,0.033606,0.108699,0.397726,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.80009,0.76859,0.717805,0.599485,0.698212,0.711254,0.737509,0.908653,0.875047,0.742599,0.7404,0.7022,0.6391,0.5113,0.6199,0.6359,0.6776,0.8715,0.8445,0.6852,0.9393,0.9236,0.9015,0.8052,0.8809,0.8871,0.8773,0.9954,0.9464,0.8764,0.104141,0.100912,0.095915,0.085212,0.094054,0.095289,0.097824,0.116084,0.112247,0.098323
21,fused,other,the_tiet_kiem_ban_sao,so_quy,so_quy,so_quy,empty,vlm_keywords,0,True,"Tờ trình, chứng minh cư trú",0.669181,so_quy,0.645304,0.023877,0.317653,1.073634,True,True,False,0.08,0.8,topk_mean,3,intrinsic,0.622566,0.645304,0.594013,0.616338,0.669181,0.597774,0.630975,0.606654,0.600244,0.617033,0.5277,0.5711,0.4988,0.5495,0.5656,0.5258,0.569,0.5378,0.5301,0.5576,0.8439,0.8184,0.8162,0.7724,0.9109,0.7657,0.7755,0.7674,0.7639,0.7557,0.100231,0.102536,0.09741,0.099609,0.105014,0.097777,0.101078,0.098649,0.098019,0.099678
22,fused,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,giay_rut_tien,empty,vlm_keywords,0,True,"Giấy rút tiền, ngân hàng, chi tiết giao dịch, xác nhận, ký tên",0.904629,giay_rut_tien,0.86937,0.035259,0.115115,0.421893,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.79275,0.761825,0.716367,0.59833,0.691616,0.705982,0.736338,0.904629,0.86937,0.740802,0.73,0.6925,0.637,0.5097,0.6105,0.6284,0.6759,0.8657,0.8364,0.6827,0.9393,0.9236,0.9015,0.8052,0.8809,0.8871,0.8773,0.9954,0.9464,0.8764,0.103815,0.100653,0.09618,0.085472,0.093829,0.095186,0.09812,0.116104,0.112081,0.098559
23,fused,other,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,empty,vlm_keywords,0,True,"Tờ trình, xác nhận, giấy tờ ngân hàng",0.681194,the_tiet_kiem_ban_sao,0.669809,0.011385,0.186871,0.586033,True,True,False,0.08,0.8,topk_mean,3,intrinsic,0.643123,0.681194,0.62949,0.622796,0.669809,0.620268,0.666445,0.649538,0.640497,0.653339,0.5289,0.5729,0.5031,0.545,0.5681,0.5272,0.5728,0.5427,0.5366,0.5619,0.9097,0.9339,0.9245,0.8044,0.9072,0.8375,0.885,0.8989,0.8829,0.8667,0.09953,0.103392,0.098182,0.097527,0.102221,0.097281,0.101878,0.10017,0.099268,0.100552
24,fused,other,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,empty,vlm_keywords,0,True,"Giấy đề nghị hoàn quỹ, ngân hàng, giao dịch, GDV, tiền mặt",0.916142,giay_de_nghi_hoan_quy,0.892424,0.023718,0.065324,0.240729,True,False,True,0.08,0.8,topk_mean,3,intrinsic,0.72819,0.721253,0.719831,0.553056,0.69506,0.669248,0.892424,0.736567,0.741669,0.916142,0.6549,0.6547,0.6362,0.4605,0.6208,0.5852,0.8738,0.6747,0.6753,0.8948,0.8992,0.8766,0.9151,0.769,0.8682,0.8654,0.9358,0.8809,0.8964,0.9659,0.098604,0.097923,0.097784,0.082763,0.095391,0.092961,0.116204,0.099434,0.099943,0.118993
25,fused,other,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,the_tiet_kiem_ban_sao,giay_de_nghi_hoan_quy,empty,vlm_keywords,0,True,"Bên giao, bên nhận, ký tên, chữ ký, tổng cộng",0.867414,giay_de_nghi_hoan_quy,0.86306,0.004353,0.015887,0.057573,True,False,True,0.08,0.8,topk_mean,3,intrinsic,0.751782,0.752539,0.701895,0.593403,0.711091,0.698947,0.86306,0.751954,0.745626,0.867414,0.7104,0.7074,0.6477,0.5045,0.6606,0.6538,0.8858,0.7118,0.7083,0.8862,0.8484,0.858,0.8283,0.8007,0.8288,0.8044,0.81,0.8458,0.8326,0.8236,0.100517,0.100593,0.095625,0.085794,0.096509,0.095344,0.112348,0.100534,0.0999,0.112838
26,fused,other,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,empty,vlm_keywords,0,True,"Giấy đề nghị hoàn quỹ, ngân hàng, giao dịch, ký duyệt, chi tiết tiền",0.917433,giay_de_nghi_hoan_quy,0.891343,0.02609,0.072667,0.268339,True,False,True,0.08,0.8,topk_mean,3,intrinsic,0.730833,0.721483,0.722361,0.558403,0.695727,0.67358,0.891343,0.745871,0.744582,0.917433,0.6536,0.6492,0.6393,0.4593,0.6155,0.5884,0.8753,0.6767,0.6738,0.8975,0.9109,0.8901,0.9161,0.7896,0.8829,0.8724,0.9289,0.9073,0.9097,0.964,0.0986,0.097682,0.097768,0.082984,0.095199,0.093113,0.115767,0.100094,0.099965,0.118827
27,fused,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,giay_de_nghi_hoan_quy,giay_nop_chuyen_tien,giay_de_nghi_hoan_quy,empty,vlm_keywords,0,True,"Bảng ký nhận, giao dịch tài chính",0.870498,giay_de_nghi_hoan_quy,0.844017,0.02648,0.086098,0.33548,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.738522,0.732772,0.68778,0.56294,0.735817,0.724025,0.844017,0.748517,0.736987,0.870498,0.6808,0.6736,0.6208,0.4788,0.6731,0.6619,0.8528,0.7041,0.6717,0.8657,0.8732,0.8708,0.844,0.7592,0.8822,0.8689,0.8236,0.8521,0.8892,0.8816,0.099726,0.099154,0.094792,0.083667,0.099456,0.09829,0.110821,0.100727,0.099573,0.113795
28,fused,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,empty,vlm_keywords,0,True,"Chứng từ ngân hàng, giao dịch, thanh toán",0.921591,the_tiet_kiem_ban_sao,0.769223,0.152368,0.425575,1.825746,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.769223,0.921591,0.723869,0.563562,0.705004,0.697464,0.703024,0.739057,0.751608,0.702497,0.7083,0.89,0.6489,0.4644,0.6212,0.6106,0.6347,0.6638,0.6746,0.6362,0.9114,0.9952,0.8988,0.7948,0.9006,0.9003,0.8624,0.9146,0.9312,0.8571,0.103873,0.120969,0.099267,0.084564,0.097412,0.09668,0.09722,0.100786,0.102059,0.097168
29,fused,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,empty,vlm_keywords,0,True,"Thẻ tiết kiệm, có kỳ hạn, điều khoản, ngân hàng, dịch vụ tài chính",0.865517,the_tiet_kiem_ban_sao,0.712214,0.153303,0.46257,1.892106,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.701568,0.865517,0.712214,0.534101,0.631193,0.60713,0.648899,0.664726,0.659943,0.656912,0.6297,0.8333,0.6372,0.4331,0.5435,0.5093,0.5788,0.5887,0.5821,0.5869,0.8692,0.9407,0.8874,0.7697,0.8357,0.8354,0.8124,0.8422,0.8416,0.8204,0.103043,0.121401,0.104146,0.087154,0.096041,0.093757,0.097756,0.099316,0.098842,0.098543
30,fused,giay_gui_tien_tiet_kiem,giay_gui_tien_tiet_kiem,giay_gui_tien_tiet_kiem,giay_gui_tien_tiet_kiem,giay_gui_tien_tiet_kiem,empty,vlm_keywords,0,True,"GIẤY RÚT TIỀN TIẾT KIỆM, NGÂN HÀNG QUỐC DÂN",0.847524,giay_gui_tien_tiet_kiem,0.786848,0.060677,0.212064,0.83946,False,False,False,0.08,0.8,topk_mean,3,intrinsic,0.847524,0.761529,0.733384,0.5614,0.689128,0.683202,0.724081,0.786848,0.77331,0.725856,0.8266,0.7186,0.6701,0.4843,0.6233,0.6315,0.6647,0.7471,0.7412,0.6719,0.8964,0.8617,0.8811,0.7412,0.8427,0.8037,0.8627,0.8796,0.8482,0.8517,0.112337,0.10308,0.100219,0.084384,0.095881,0.095314,0.099291,0.105723,0.104302,0.099468
31,fused,other,so_quy,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,the_tiet_kiem_ban_sao,empty,vlm_keywords,0,True,"Tờ trình, xác nhận, giấy tờ ngân hàng",0.666129,the_tiet_kiem_ban_sao,0.663973,0.002156,0.046577,0.137091,True,True,False,0.08,0.8,topk_mean,3,intrinsic,0.63969,0.666129,0.630144,0.623948,0.663973,0.619839,0.656638,0.635815,0.627319,0.639413,0.524,0.5514,0.504,0.5466,0.5597,0.5266,0.5588,0.5231,0.5178,0.542,0.9097,0.9339,0.9245,0.8044,0.9072,0.8375,0.885,0.8989,0.8829,0.8667,0.099928,0.102605,0.098978,0.098367,0.102384,0.097963,0.101636,0.099541,0.098699,0.0999
